seed,visible_rate,obs_impute,label,deployable,score,success_095
4300006,0.25,frame_hold,frame hold,True,0.0,False
4300006,0.25,carry_forward,carry-forward,True,0.0,False
4300006,0.25,linear,linear,True,0.0,False
4300006,0.25,oracle,oracle,False,0.9829059839631646,True
4300007,0.25,none,zero-fill,True,0.045127646075307386,False
4300007,0.25,mean_prior,mean prior,True,0.045127646075307386,False
4300007,0.25,frame_hold,frame hold,True,0.045127646075307386,False
4300007,0.25,carry_forward,carry-forward,True,0.5333902148798064,False
4300007,0.25,linear,linear,True,0.42888521274844976,False
4300007,0.25,oracle,oracle,False,0.9976660121029144,True
4300008,0.25,none,zero-fill,True,0.0,False
4300008,0.25,mean_prior,mean prior,True,0.007078757830265698,False
4300008,0.25,frame_hold,frame hold,True,0.007078757830265698,False
4300008,0.25,carry_forward,carry-forward,True,0.958826785182027,True
4300008,0.25,linear,linear,True,0.0,False
4300008,0.25,oracle,oracle,False,0.9967004627702787,True
4300009,0.25,none,zero-fill,True,0.00022323700018118755,False
4300009,0.25,mean_prior,mean prior,True,0.6588690798145046,False
4300009,0.25,frame_hold,frame hold,True,0.6588690798145046,False
4300009,0.25,carry_forward,carry-forward,True,0.7792167069893423,False
4300009,0.25,linear,linear,True,0.8624056803741065,False
4300009,0.25,oracle,oracle,False,0.9545351450751441,True
4300010,0.25,none,zero-fill,True,0.0,False
4300010,0.25,mean_prior,mean prior,True,0.0,False
4300010,0.25,frame_hold,frame hold,True,0.0,False
4300010,0.25,carry_forward,carry-forward,True,0.0,False
4300010,0.25,linear,linear,True,0.9957061515339612,True
4300010,0.25,oracle,oracle,False,1.0,True
4300011,0.25,none,zero-fill,True,0.5358019064850138,False
4300011,0.25,mean_prior,mean prior,True,0.27954753320248316,False
4300011,0.25,frame_hold,frame hold,True,0.27954753320248316,False
4300011,0.25,carry_forward,carry-forward,True,0.47677319314518996,False
4300011,0.25,linear,linear,True,0.9722075429097737,True
4300011,0.25,oracle,oracle,False,0.9960788443043639,True
4300012,0.25,none,zero-fill,True,0.16202009453831215,False
4300012,0.25,mean_prior,mean prior,True,0.3466108452081189,False
4300012,0.25,frame_hold,frame hold,True,0.346610845208119,False
4300012,0.25,carry_forward,carry-forward,True,0.43760145160869235,False
4300012,0.25,linear,linear,True,0.2219899077848771,False
4300012,0.25,oracle,oracle,False,1.0,True
4300013,0.25,none,zero-fill,True,0.3087005263470074,False
4300013,0.25,mean_prior,mean prior,True,0.3745656435889815,False
4300013,0.25,frame_hold,frame hold,True,0.3745656435889815,False
4300013,0.25,carry_forward,carry-forward,True,0.9140648620086582,False
4300013,0.25,linear,linear,True,0.9838062608133558,True
4300013,0.25,oracle,oracle,False,0.9747545356056472,True
4300014,0.25,none,zero-fill,True,0.1924634683451791,False
4300014,0.25,mean_prior,mean prior,True,0.24423520419878972,False
4300014,0.25,frame_hold,frame hold,True,0.24423520419878972,False
4300014,0.25,carry_forward,carry-forward,True,1.0,True
4300014,0.25,linear,linear,True,0.9276843263737097,False
4300014,0.25,oracle,oracle,False,1.0,True
4300015,0.25,none,zero-fill,True,0.21993068956021253,False
4300015,0.25,mean_prior,mean prior,True,0.2584894686996958,False
4300015,0.25,frame_hold,frame hold,True,0.2584894686996958,False
4300015,0.25,carry_forward,carry-forward,True,0.9574015343831028,True
4300015,0.25,linear,linear,True,0.9725557976248821,True
4300015,0.25,oracle,oracle,False,0.9842120887986381,True
4300016,0.25,none,zero-fill,True,0.006964729583132399,False
4300016,0.25,mean_prior,mean prior,True,0.25897425523184503,False
4300016,0.25,frame_hold,frame hold,True,0.25897425523184503,False
4300016,0.25,carry_forward,carry-forward,True,0.006964729583132399,False
4300016,0.25,linear,linear,True,0.934488936682971,False
4300016,0.25,oracle,oracle,False,0.0,False
4300017,0.25,none,zero-fill,True,0.024564773481849718,False
4300017,0.25,mean_prior,mean prior,True,0.2350663133769081,False
4300017,0.25,frame_hold,frame hold,True,0.2350663133769081,False
4300017,0.25,carry_forward,carry-forward,True,0.7989550820257879,False
4300017,0.25,linear,linear,True,0.9948348446552883,True
4300017,0.25,oracle,oracle,False,1.0,True
4300018,0.25,none,zero-fill,True,0.379817153057252,False
4300018,0.25,mean_prior,mean prior,True,0.6630254316029178,False
4300018,0.25,frame_hold,frame hold,True,0.6630254316029179,False
4300018,0.25,carry_forward,carry-forward,True,0.5032110971443892,False
4300018,0.25,linear,linear,True,0.7203403009892346,False
4300018,0.25,oracle,oracle,False,1.0,True
4300019,0.25,none,zero-fill,True,0.1910511775436645,False
4300019,0.25,mean_prior,mean prior,True,0.18500770993332996,False
4300019,0.25,frame_hold,frame hold,True,0.18500770993332996,False
4300019,0.25,carry_forward,carry-forward,True,0.824493698272239,False
4300019,0.25,linear,linear,True,0.18500770993332996,False
4300019,0.25,oracle,oracle,False,0.18822462798337974,False
